locusTag	Mapped_reads_Hypoxy	Mapped_reads_Normoxy
CT875	283.763	88.916
CT001	2490.033	1179.286
CT002	245.297	239.881
CT003	160.605	233.455
CT004	151.796	213.491
CT005	66.353	31.879
CT006	10.128	17.354
CT007	110.045	288.491
CT008	38.614	58.01
CT009	139.775	313.349
CT010	53.572	131.548
CT011	105.378	60.685
CT012	223.696	196.881
CT013	260.988	194.418
CT014	171.755	41.788
CT015	56.822	21.53
CT016	356.484	162.134
CT017	301.654	498.747
CT018	76.905	94.43
CT019	78.037	181.136
CT020	42.076	31.421
CT021	21.934	6.976
CT022	936.829	1170.557
CT023	176.783	804.146
CT024	75.953	230.089
CT025	281.787	563.555
CT026	447.031	1196.028
CT027	235.154	622.158
CT028	178.508	239.331
CT029	136.419	214.483
CT030	130.426	244.503
CT031	213.017	420.536
CT032	148.01	333.006
CT033	33.39	27.739
CT034	72.649	45.624
CT035	46.424	79.932
CT036	27.133	17.116
CT037	29.462	15.611
CT038	143.06	132.308
CT039	415.375	517.946
CT039.1	5.5	2.75
CT040	105.927	173.252
CT041	309.916	846.827
CT042	56.115	28.892
CT043	1639.671	3019.687
CT044	277.574	1743.732
CT045	116.259	197.217
CT046	581.943	86.052
CT047	27.495	23.981
CT048	22.964	69.683
CT049	60.51	50.094
CT050	44.604	9.125
CT051	21.489	8.526
CT052	111.56	210.696
CT053	119.391	1430.477
CT054	67.671	16.047
CT055	102.333	14.516
CT056	96.402	22.885
CT057	52.071	185.792
CT058	40.503	93.856
CT059	167.442	319.141
CT060	31.778	4.434
CT061	79.165	40.26
CT062	170.215	321.793
CT063	98.252	207.247
CT064	82.52	262.869
CT065	255.635	178.849
CT066	268.904	314.608
CT067	805.792	1384.52
CT068	562.486	716.587
CT069	315.08	115.342
CT070	192.111	18.867
CT071	141.395	23.228
CT072	153.813	245.811
CT073	207.851	70.687
CT074	21.632	18.08
CT075	113.699	82.062
CT076	77.4	301.85
CT077	33.261	130.136
CT078	39.567	47.766
CT079	43.464	17.52
CT080	1113.187	91.425
CT081	155.276	17.529
CT082	39.758	11.734
CT083	39.267	16.545
CT084	64.256	34.493
CT085	41.149	69.342
CT086	616.044	3065.056
CT087	22.436	5.174
CT088	60.603	19.592
CT089	320.291	45.514
CT090	324.483	95.867
CT091	146.051	50.065
CT092	35.302	85.904
CT093	38.928	56.503
CT094	149.966	85.051
CT095	217.29	134.07
CT096	249.664	252.182
CT097	221.885	136.173
CT098	489.91	548.337
CT099	123.956	209.193
CT100	83.483	98.231
CT101	70.985	74.697
CT102	69.353	81.219
CT103	57.453	74.726
CT104	96.75	104.029
CT105	20.679	53.368
CT106	22.855	23.613
CT107	21.767	58.533
CT108	103.279	74.544
CT109	72.586	64.895
CT110	797.55	268.817
CT111	747.592	205.091
CT112	63.073	42.774
CT113	168.962	105.464
CT114	73.818	32.225
CT115	320.692	1195.953
CT116	291.531	907.764
CT117	257.457	810.006
CT118	99.169	341.161
CT119	35.478	24.529
CT120	25.634	18.342
CT121	135.824	140.795
CT122	171.301	121.801
CT123	191.743	128.899
CT124	145.259	136.828
CT125	1138.799	1969.514
CT126	841.828	1471.113
CT127	32.86	143.221
CT128	78.709	79.756
CT129	44.02	116.828
CT130	51.909	76.12
CT131	50.176	11.095
CT132	57.062	11.056
CT133	55.479	71.524
CT134	122.35	326.034
CT135	95.063	256.254
CT136	296.379	847.578
CT137	79.623	160.182
CT138	65.234	31.338
CT139	40.183	24.352
CT140	40.699	106.728
CT141	80.55	105.468
CT142	65.869	37.01
CT143	61.209	25.208
CT144	81.403	32.106
CT145	128.339	114.064
CT146	77.935	30.983
CT147	50.353	146.002
CT148	56.535	70.85
CT149	16.673	37.023
CT150	745.686	1748.56
CT151	152.618	668.638
CT152	55.274	87.948
CT153	38.604	28.116
CT154	23.759	17.105
CT155	26.001	11.542
CT156	46.801	11.57
CT157	21.36	8.434
CT158	50.137	23.258
CT159	55.314	37.787
CT160	38.792	28.694
CT161	31.908	23.795
CT162	3.617	2.371
CT163	15.423	10.967
CT164	51.195	24.789
CT165	41.81	26.621
CT166	21.316	12.522
CT167	31.377	16.027
CT168	11.439	15.812
CT169	136.147	2583.544
CT170	16.106	1819.922
CT171	34.917	697.925
CT172	63.697	47.224
CT172.1	38.953	12.462
CT173	45.062	12.626
CT174	52.899	12.408
CT175	30.066	18.787
CT176	133.814	38.129
CT177	273.944	68.181
CT178	95.394	29.937
CT179	113.758	85.292
CT180	208.999	747.724
CT181	339.869	54.835
CT182	183.712	131.049
CT183	66.019	38.936
CT184	44.823	41.707
CT185	140.8	279.78
CT186	111.452	125.064
