locusTag	length
CT875	1176
CT001	273
CT002	303
CT003	1476
CT004	1467
CT005	1092
CT006	570
CT007	951
CT008	903
CT009	432
CT010	1368
CT011	1257
CT012	795
CT013	1341
CT014	1062
CT015	1305
CT016	729
CT017	1302
CT018	474
CT019	3111
CT020	1887
CT021	744
CT022	327
CT023	1080
CT024	873
CT025	1347
CT026	351
CT027	1059
CT028	366
CT029	654
CT030	618
CT031	303
CT032	1653
CT033	2241
CT034	1026
CT035	774
CT036	1212
CT037	357
CT038	351
CT039	573
CT039.1	153
CT040	1005
CT041	813
CT042	2001
CT043	504
CT044	474
CT045	1500
CT046	612
CT047	945
CT048	714
CT049	1473
CT050	1611
CT051	1563
CT052	1137
CT053	447
CT054	2718
CT055	1098
CT056	732
CT057	1809
CT058	1104
CT059	276
CT060	1818
CT061	762
CT062	1239
CT063	1443
CT064	1809
CT065	1587
CT066	477
CT067	981
CT068	780
CT069	1356
CT070	957
CT071	1140
CT072	1860
CT073	978
CT074	1098
CT075	1251
CT076	456
CT077	951
CT078	864
CT079	444
CT080	294
CT081	297
CT082	1683
CT083	483
CT084	1086
CT085	1740
CT086	270
CT087	1584
CT088	441
CT089	1266
CT090	2127
CT091	1083
CT092	1101
CT093	906
CT094	726
CT095	372
CT096	2679
CT097	1305
CT098	1710
CT099	1056
CT100	360
CT101	462
CT102	462
CT103	897
CT104	897
CT105	1971
CT106	912
CT107	1110
CT108	756
CT109	789
CT110	1635
CT111	309
CT112	1827
CT113	2604
CT114	1461
CT115	426
CT116	399
CT117	315
CT118	504
CT119	822
CT120	243
CT121	702
CT122	558
CT123	495
CT124	1374
CT125	453
CT126	390
CT127	852
CT128	738
CT129	645
CT130	702
CT131	3417
CT132	1278
CT133	804
CT134	414
CT135	1083
CT136	720
CT137	846
CT138	948
CT139	1281
CT140	687
CT141	447
CT142	858
CT143	843
CT144	858
CT145	1845
CT146	1992
CT147	4350
CT148	1524
CT149	948
CT150	159
CT151	1512
CT152	678
CT153	2433
CT154	1152
CT155	942
CT156	342
CT157	1215
CT158	717
CT159	933
CT160	504
CT161	741
CT162	240
CT163	1647
CT164	261
CT165	447
CT166	1920
CT167	1332
CT168	303
CT169	285
CT170	1179
CT171	762
CT172	492
CT172.1	171
CT173	273
CT174	456
CT175	1590
CT176	408
CT177	717
CT178	1215
CT179	513
CT180	693
CT181	711
CT182	765
CT183	1620
CT184	447
CT185	1524
CT186	771
CT187	873
CT188	612
CT189	2511
CT190	2415
CT191	351
CT192	774
CT193	1119
CT194	1413
CT195	1092
CT196	321
CT197	1017
CT198	1557
CT199	942
CT200	846
CT201	834
CT202	744
CT203	756
CT204	1416
CT205	1662
CT206	849
CT207	1647
CT208	1296
CT209	2460
CT210	1269
CT211	570
CT212	447
CT213	729
CT214	1644
CT215	1047
CT216	1401
CT217	705
CT218	852
CT219	909
CT220	579
CT221	897
CT221.1	141
CT222	390
CT223	813
CT224	444
CT225	369
CT226	531
CT227	402
CT228	591
CT229	648
CT230	1248
CT231	1473
CT232	348
CT233	537
CT234	2787
CT235	414
CT236	234
CT237	747
CT238	927
CT239	984
CT240	603
CT241	2379
CT242	522
CT243	1065
CT244	1197
CT245	1023
CT246	987
CT247	1290
CT248	2445
CT249	351
CT250	1371
CT251	2364
CT252	819
CT253	648
CT254	771
CT255	384
CT256	1245
CT257	1215
CT258	1125
CT259	747
CT260	492
CT261	699
CT262	771
CT263	591
CT264	1941
CT265	975
CT266	1182
CT267	303
CT268	780
CT269	1452
CT270	1944
CT271	288
CT272	903
CT273	567
CT274	420
CT275	1368
CT276	585
CT277	660
CT278	1512
CT279	951
CT280	642
CT281	735
CT282	354
CT283	2097
CT284	1425
CT285	720
CT286	2565
CT287	1077
CT288	1692
CT289	1140
CT290	678
CT291	477
CT292	438
CT293	927
CT294	621
CT295	1782
CT296	468
CT297	696
CT298	1365
CT299	726
CT300	348
CT301	2805
CT302	2820
CT303	516
CT304	426
CT305	1950
CT306	612
CT307	1317
CT308	1776
CT309	801
CT310	627
CT311	711
CT312	372
CT313	984
CT314	4191
CT315	3759
CT316	393
CT317	519
CT318	699
CT319	426
CT320	549
CT321	249
CT322	1185
CT323	222
CT324	912
CT325	447
CT326	1692
CT326.1	189
CT326.2	183
CT327	627
CT328	825
CT329	1551
CT330	273
CT331	1923
CT332	1458
CT333	5361
CT334	1401
CT335	291
CT336	1716
CT337	330
CT338	462
CT339	1530
CT340	2037
CT341	1179
CT342	177
CT343	633
CT344	2460
CT345	366
CT346	915
CT347	948
CT348	1587
CT349	591
CT350	1701
CT351	2094
CT351a	309
CT352	306
CT353	546
CT354	834
CT355	1062
CT356	2115
CT357R	288
CT357	333
CT358	537
CT359	591
CT360	627
CT361	861
CT362	1296
CT363	1005
CT364	762
CT365	1728
CT366	1323
CT367	555
CT368	1074
CT369	1122
CT370	1437
CT371	786
CT372	1329
CT373	588
CT374	1452
CT375	1059
CT376	981
CT377	141
CT378	1578
CT379	1344
CT380	801
CT381	774
CT382	837
CT382.1	192
CT383	732
CT384	1620
CT385	336
CT386	870
CT387	2076
CT388	303
CT389	1227
CT390	1185
CT391	1008
CT392	1134
CT393	1746
CT394	1179
CT395	573
CT396	1983
CT397	2085
CT398	765
CT399	987
CT400	1167
CT401	1239
CT402	1260
CT403	810
CT404	828
CT405	600
CT406	465
CT407	375
CT408	504
CT409	1362
CT410	1278
CT411	1824
CT412	2928
CT413	5256
CT414	5313
CT415	831
CT416	711
CT417	882
CT418	1008
CT419	252
CT420	324
CT421	702
CT421.1	162
CT421.2	162
CT422	486
CT423	1110
CT424	351
CT425	1866
CT426	1110
CT427	822
CT428	690
CT429	990
CT430	828
CT431	579
CT432	1494
CT433	672
CT434	537
CT435	1053
CT436	318
CT437	2085
CT438	474
CT439m	372
CT440	339
CT441	1935
CT442	453
CT443	1662
CT444	267
CT444.1	225
CT445	1521
CT446	552
CT447	1755
CT448	4203
CT449	333
CT450	762
CT451	918
CT452	651
CT453	651
CT454	1692
CT455	1335
CT456	3018
CT457	717
CT458	504
CT459	1041
CT459.1	69
CT460	261
CT461	990
CT462	660
CT463	804
CT464	675
CT465	642
CT466	330
CT467	1059
CT468	1161
CT469	537
CT470	732
CT471	603
CT472	795
CT473	315
CT474	930
CT475	2373
CT476	966
CT477	513
CT478	1737
CT479	1479
CT480	2091
CT480.1	165
CT481	732
CT482	654
CT483	366
CT484	999
CT485	945
CT486	786
CT487	573
CT488	735
CT489	1326
CT490	252
CT491	1395
CT492	609
CT493	2601
CT494	996
CT495	1623
CT496	507
CT496.1	150
CT497	1419
CT498	1833
CT499	702
CT500	426
CT501	603
CT502	513
CT503	555
CT504	867
CT505	1005
CT506	426
CT507	1134
CT508	399
CT509	369
CT510	1374
CT511	435
CT512	498
CT513	372
CT514	552
CT515	402
CT516	543
CT517	336
CT518	369
CT519	252
CT520	219
CT521	417
CT522	675
CT523	336
CT524	267
CT525	855
CT526	336
CT527	669
CT528	666
CT529	897
CT530	951
CT531	843
CT532	462
CT533	861
CT534	1629
CT535	483
CT536	753
CT537	474
CT538	717
CT539	309
CT540	456
CT541	732
CT542	1749
CT543	1287
CT544	1371
CT545	3714
CT546	870
CT547	957
CT548	585
CT549	441
CT550	426
CT551	1032
CT552	408
CT553	978
CT554	1236
CT555	3600
CT556	480
CT557	1398
CT558	936
CT559	981
CT560	837
CT561	672
CT562	921
CT563	285
CT564	870
CT565	444
CT566	993
CT567	525
CT568	456
CT569	330
CT570	1176
CT571	1506
CT572	2283
CT573	1230
CT574	1071
CT575	1731
CT576	699
CT577	360
CT578	1464
CT579	1320
CT580	984
CT581	1908
CT582	768
CT583	792
CT584	552
CT585	1041
CT586	2007
CT587	1275
CT588	1953
CT589	1809
CT590	2865
CT591	699
CT592	1722
CT593	570
CT593.1	192
CT594	792
CT595	2079
CT596	699
CT597	408
CT598	708
CT599	1296
CT600	567
CT601	603
CT602	393
CT603	588
CT604	1602
CT605	1230
CT606	630
CT606.1	240
CT607	690
CT608	1905
CT609	1311
CT610	696
CT611	732
CT612	480
CT613	1353
CT614	375
CT615	1716
CT616	1290
CT617	297
CT618	801
CT619	2634
CT620	2517
CT621	2499
CT622	1944
CT623	1299
CT624	1611
CT625	867
CT626	630
CT627	984
CT628	876
CT629	618
CT630	684
CT631	255
CT632	1590
CT633	1017
CT634	1398
CT635	435
CT636	2148
CT637	1203
CT638	768
CT638.1	210
CT639	3081
CT640	3015
CT641	1680
CT642	816
CT643	2574
CT644	1005
CT645	297
CT646	1380
CT647	579
CT648	1275
CT649	537
CT650	1059
CT651	1827
CT652	1491
CT652.1	180
CT653	720
CT654	489
CT655	810
CT656	294
CT657	318
CT658	1005
CT659	237
CT660	1473
CT661	1818
CT662	1008
CT663	402
CT664	2490
CT665	252
CT666	252
CT667	450
CT668	672
CT669	1329
CT670	507
CT671	852
CT672	1122
CT673	1473
CT674	2766
CT675	1071
CT676	522
CT677	540
CT678	738
CT679	849
CT680	849
CT681	1182
CT682	3243
CT683	1008
CT684	1452
CT685	768
CT686	1188
CT687	1206
CT688	846
CT689	831
CT690	966
CT691	675
CT692	1281
CT693	1212
CT694	972
CT695	1197
CT696	1179
CT697	636
CT698	1335
CT699	906
CT700	1326
CT701	2910
CT702	528
CT703	1473
CT704	1233
CT705	1260
CT706	612
CT707	1329
CT708	3492
CT709	1101
CT710	1800
CT711	2304
CT712	1173
CT713	1023
CT714	1005
CT715	1368
CT716	366
CT717	1305
CT718	525
CT719	1005
CT720	783
CT721	1155
CT722	681
CT723	726
CT724	525
